root_id,super_class,cell_class,cell_type,hemibrain_type,ito_lee_hemilineage,hartenstein_hemilineage,top_nt,side,nerve,flow,status,synonyms
720575940637662697,motor,brain_motor_neuron,CB0750,,putative_primary,putative_primary,serotonin,right,AN,efferent,,
720575940617403622,motor,brain_motor_neuron,CB0861,,putative_primary,putative_primary,acetylcholine,right,MxLbN,efferent,,
720575940623620425,motor,,CB2748,,MX0__prim,MX0__prim,octopamine,left,ON,intrinsic,,
720575940620595393,motor,,CB2748,,MX0__prim,MX0__prim,serotonin,left,ON,intrinsic,,
720575940629810748,motor,brain_motor_neuron,CB0871,,putative_primary,putative_primary,glutamate,right,MxLbN,efferent,,
720575940620982966,motor,brain_motor_neuron,CB0873,,LB3__prim,putative_primary,glutamate,right,AN,efferent,,
720575940613935535,motor,brain_motor_neuron,CB0715,,putative_primary,putative_primary,gaba,left,PhN,efferent,,
720575940630580854,motor,brain_motor_neuron,CB0875,,putative_primary,putative_primary,acetylcholine,left,PhN,efferent,,
720575940618600246,motor,brain_motor_neuron,CB0861,,putative_primary,putative_primary,acetylcholine,left,MxLbN,efferent,,
720575940647474979,motor,brain_motor_neuron,CB0882,,putative_primary,putative_primary,acetylcholine,left,PhN,efferent,,
720575940619682368,motor,brain_motor_neuron,CB0783,,putative_primary,putative_primary,acetylcholine,left,MxLbN,efferent,,
720575940628096586,motor,brain_motor_neuron,CB0769,,putative_primary,putative_primary,serotonin,right,PhN,efferent,,
720575940610792290,motor,brain_motor_neuron,CB0873,,LB3__prim,putative_primary,glutamate,left,AN,efferent,,
720575940615596850,motor,brain_motor_neuron,CB0886,,putative_primary,putative_primary,acetylcholine,right,AN,efferent,,
720575940607880578,motor,brain_motor_neuron,CB0705,,putative_primary,putative_primary,acetylcholine,right,CV,efferent,,
720575940631023099,motor,brain_motor_neuron,CB0899,,putative_primary,putative_primary,acetylcholine,right,CV,efferent,,
720575940629464582,motor,brain_motor_neuron,CB0705,,putative_primary,putative_primary,serotonin,left,CV,efferent,,
720575940628998659,motor,brain_motor_neuron,CB0789,,putative_primary,putative_primary,acetylcholine,left,MxLbN,efferent,,
720575940628781333,motor,brain_motor_neuron,CEM,,putative_primary,putative_primary,serotonin,right,PhN,efferent,,
720575940629936348,motor,brain_motor_neuron,CB0720,,putative_primary,putative_primary,acetylcholine,right,MxLbN,efferent,,
720575940622361270,motor,brain_motor_neuron,CB0901,,putative_primary,putative_primary,acetylcholine,left,AN,efferent,,
720575940629183643,motor,brain_motor_neuron,CB0886,,putative_primary,putative_primary,acetylcholine,left,AN,efferent,,
720575940623415849,motor,brain_motor_neuron,CB0720,,putative_primary,putative_primary,glutamate,right,MxLbN,efferent,,
720575940620008112,motor,brain_motor_neuron,CEM,,putative_primary,putative_primary,acetylcholine,left,PhN,efferent,,
720575940632281927,motor,brain_motor_neuron,CB0904,,putative_primary,putative_primary,acetylcholine,left,PhN,efferent,outlier_seg,
720575940622810153,motor,brain_motor_neuron,MN10,,putative_primary,putative_primary,acetylcholine,left,PhN,efferent,,
720575940661338497,motor,brain_motor_neuron,CB0904,,putative_primary,putative_primary,acetylcholine,right,PhN,efferent,,
720575940605287358,motor,brain_motor_neuron,CB4212,,,,acetylcholine,right,CV,efferent,outlier_seg,
720575940623390246,motor,brain_motor_neuron,CB0728,,putative_primary,putative_primary,acetylcholine,left,PhN,efferent,,
720575940645528430,motor,brain_motor_neuron,CB0875,,putative_primary,putative_primary,acetylcholine,right,PhN,efferent,,
720575940615500030,motor,brain_motor_neuron,CB0720,,putative_primary,putative_primary,gaba,left,MxLbN,efferent,,
720575940610679876,motor,brain_motor_neuron,CB0703,,putative_primary,putative_primary,acetylcholine,left,PhN,efferent,,
720575940623993015,motor,brain_motor_neuron,CB0882,,putative_primary,putative_primary,acetylcholine,right,PhN,efferent,,
720575940622008560,motor,brain_motor_neuron,CB0705,,putative_primary,putative_primary,acetylcholine,left,CV,efferent,,
720575940631999080,motor,brain_motor_neuron,MNx01,,putative_primary,putative_primary,glutamate,right,PhN,efferent,,
720575940633195148,motor,brain_motor_neuron,CB0836,,putative_primary,putative_primary,acetylcholine,left,MxLbN,efferent,,
720575940628743752,motor,brain_motor_neuron,MN10,,putative_primary,putative_primary,acetylcholine,right,PhN,efferent,,
720575940632304711,motor,brain_motor_neuron,MNx01,,putative_primary,putative_primary,glutamate,right,PhN,efferent,,
720575940628997123,motor,brain_motor_neuron,CB0762,,putative_primary,putative_primary,glutamate,right,MxLbN,efferent,,
720575940612888178,motor,brain_motor_neuron,CB0911,,putative_primary,putative_primary,acetylcholine,right,MxLbN,efferent,,
720575940636044143,motor,brain_motor_neuron,CB0835,,putative_primary,putative_primary,glutamate,left,CV,efferent,,
720575940633710756,motor,brain_motor_neuron,CB0899,,putative_primary,putative_primary,acetylcholine,left,CV,efferent,,
720575940626094350,motor,brain_motor_neuron,CB0762,,putative_primary,putative_primary,acetylcholine,right,MxLbN,efferent,,
720575940621351412,motor,brain_motor_neuron,CB0810,,putative_primary,putative_primary,acetylcholine,left,AN,efferent,,
720575940623352063,motor,brain_motor_neuron,CB0911,,putative_primary,putative_primary,acetylcholine,left,MxLbN,efferent,,
720575940623457535,motor,brain_motor_neuron,CB0831,,putative_primary,putative_primary,serotonin,right,CV,efferent,outlier_seg,
720575940628826128,motor,brain_motor_neuron,CB0858,,putative_primary,putative_primary,acetylcholine,right,MxLbN,efferent,,
720575940628164612,motor,brain_motor_neuron,CB0913,,putative_primary,putative_primary,acetylcholine,right,CV,efferent,,
720575940615197747,motor,brain_motor_neuron,CB0914,,putative_primary,putative_primary,acetylcholine,left,PhN,efferent,outlier_seg,
720575940624117528,motor,brain_motor_neuron,CB4212,,putative_primary,putative_primary,acetylcholine,left,CV,efferent,,
720575940629778554,motor,brain_motor_neuron,MNx01,,putative_primary,putative_primary,glutamate,right,PhN,efferent,,
720575940641811419,motor,brain_motor_neuron,CB0913,,putative_primary,putative_primary,acetylcholine,left,CV,efferent,,
720575940618539810,motor,brain_motor_neuron,CB0915,,putative_primary,putative_primary,acetylcholine,left,PhN,efferent,,
720575940624679463,motor,brain_motor_neuron,CB0706,,LB12__prim,putative_primary,acetylcholine,left,CV,efferent,,
720575940630868793,motor,brain_motor_neuron,CB0700,,putative_primary,putative_primary,glutamate,right,PhN,efferent,,
720575940645527918,motor,brain_motor_neuron,CB0914,,putative_primary,putative_primary,acetylcholine,right,PhN,efferent,,
720575940634813536,motor,brain_motor_neuron,CB0916,,putative_primary,putative_primary,acetylcholine,right,CV,efferent,outlier_seg,
720575940650119289,motor,brain_motor_neuron,CB0838,,putative_primary,putative_primary,acetylcholine,right,CV,efferent,outlier_seg,
720575940632898105,motor,brain_motor_neuron,CB0916,,putative_primary,putative_primary,acetylcholine,left,CV,efferent,outlier_seg,
720575940630233404,motor,brain_motor_neuron,CB0915,,putative_primary,putative_primary,acetylcholine,right,PhN,efferent,,
720575940624327572,motor,brain_motor_neuron,CB0918,,MX12__prim,MX12__prim,acetylcholine,right,ON,efferent,,
720575940607641010,motor,brain_motor_neuron,CB0918,,MX12__prim,MX12__prim,acetylcholine,right,ON,efferent,,
720575940635776760,motor,brain_motor_neuron,CB0918,,MX12__prim,MX12__prim,acetylcholine,left,ON,efferent,,
720575940646274670,motor,brain_motor_neuron,MNx03,,putative_primary,putative_primary,acetylcholine,left,PhN,efferent,,
720575940620182181,motor,brain_motor_neuron,CB0004,,MX12__prim,MX12__prim,acetylcholine,right,ON,efferent,,
720575940648375161,motor,,CB2748,,MX0__prim,MX0__prim,serotonin,right,ON,intrinsic,,
720575940633185567,motor,brain_motor_neuron,CB0762,,putative_primary,putative_primary,acetylcholine,left,MxLbN,efferent,,
720575940622168052,motor,brain_motor_neuron,CB0901,,putative_primary,putative_primary,acetylcholine,right,AN,efferent,,
720575940630865724,motor,brain_motor_neuron,CB0871,,putative_primary,putative_primary,acetylcholine,left,MxLbN,efferent,,
720575940620553654,motor,brain_motor_neuron,CB0764,,putative_primary,putative_primary,acetylcholine,right,PhN,efferent,,
