supervoxel_id	root_id	pos_x	pos_y	pos_z	soma_x	soma_y	soma_z	nucleus_id	flow	super_class	cell_class	cell_sub_class	supertype	cell_type	hemibrain_type	ito_lee_hemilineage	hartenstein_hemilineage	top_nt	top_nt_conf	known_nt	known_nt_source	side	nerve	vfb_id	fbbt_id	status	dimorphism	matching_notes	fru_dsx	synonyms
76707154572455033	720575940615799190	88880.0	84256.0	5872.0	88880.0	84256.0	5872.0	1971115.0	intrinsic	optic	LOP>LO			Tlp14				glutamate	0.5824377738234734	glutamate	Nern et al., 2024 (EASI-FISH)	left		fw060455			isomorphic			
77691217412421944	720575940605476576	102664.0	67408.0	5527.0	102664.0	67408.0	5527.0	2577516.0	intrinsic	optic	LO>ME	tangential		LMt2				glutamate	0.6458188361052227			left		fw060460			isomorphic			
83178605068736653	720575940624982202	183208.0	47176.0	5529.0	183208.0	47176.0	5529.0	7663501.0	intrinsic	optic	LOP>LO			Tlp14				glutamate	0.6434164483542566	glutamate	Nern et al., 2024 (EASI-FISH)	right		fw060475			isomorphic			
77620848668288781	720575940641515984	101880.0	67696.0	5570.0	101880.0	67696.0	5570.0	2576971.0	intrinsic	optic	LO>ME	tangential		LMt2				glutamate	0.6319235473161684			left		fw060491			isomorphic			
77620779881468269	720575940640605043	101720.0	67048.0	4876.0	101720.0	67048.0	4876.0	2574548.0	intrinsic	optic	LO>ME			LMa1				glutamate	0.6905573864612766			left		fw060493			isomorphic			
76425129571210534	720575940641367760	84888.0	76248.0	3612.0	84888.0	76248.0	3612.0	1950720.0	intrinsic	optic	ME	tangential		Sm20				acetylcholine	0.8661064009987534			left		fw060514			isomorphic			
82406266936451926	720575940621461598	170984.0	72872.0	5762.0	170984.0	72872.0	5762.0	7143239.0	intrinsic	optic	LOP>ME.LO			Tlp14				glutamate	0.6637160372107601	glutamate	Nern et al., 2024 (EASI-FISH)	right		fw060563			isomorphic			
81632141830238546	720575940622539252	160280.0	72312.0	4620.0	160280.0	72312.0	4620.0	6892245.0	intrinsic	optic	LO>ME	tangential		LMt2				glutamate	0.5675123437114193			right		fw060597			isomorphic			
76635549011732560	720575940623554317	87768.0	66144.0	6776.0	87768.0	66144.0	6776.0	1945184.0	intrinsic	optic	LOP>LO			Tlp14				gaba	0.5547197252644533	glutamate	Nern et al., 2024 (EASI-FISH)	left		fw060615			isomorphic			
81702716799582510	720575940623452028	160960.0	74936.0	4873.0	160960.0	74936.0	4873.0	6921688.0	intrinsic	optic	LO>ME	tangential		LMt2				glutamate	0.5932735186929833			right		fw060640			isomorphic			
77620711229173571	720575940615533730	101880.0	66024.0	5431.0	101880.0	66024.0	5431.0	2576950.0	intrinsic	optic	LO>ME	tangential		LMt2				glutamate	0.6112115799378647			left		fw060658			isomorphic			
77620711229310942	720575940621638235	101360.0	66040.0	5533.0	101360.0	66040.0	5533.0	2576751.0	intrinsic	optic	LO>ME	tangential		LMt2				glutamate	0.5773722879676246			left		fw060659			isomorphic			
