condition,seed,A_single_seed,F_single_seed,MN9_delta_hz,motor_total_delta_hz,baseline_MN9_hz,lesion_MN9_hz
optimized_003,631026,11.215686274509803,0.20119591980302498,2.0,-261.0,84.0,86.0
optimized_003,631027,12.764705882352942,0.19432835820895522,2.0,-309.0,84.0,86.0
optimized_003,631028,13.764705882352942,0.19494584837545126,8.0,-381.0,80.0,88.0
optimized_003,631029,11.941176470588236,0.19055068836045055,4.0,-301.0,77.0,81.0
optimized_003,631030,13.509803921568627,0.20822000604412208,2.0,-392.0,83.0,85.0
optimized_004,631001,15.235294117647058,0.1849119466920514,-14.0,-570.0,88.0,74.0
optimized_004,631002,13.862745098039216,0.18325557283566615,-14.0,-587.0,77.0,63.0
optimized_004,631003,15.72549019607843,0.19418886198547217,-23.0,-644.0,83.0,60.0
optimized_004,631004,15.529411764705882,0.19218636253336568,-23.0,-667.0,84.0,61.0
optimized_004,631005,13.862745098039216,0.19600776268367065,-16.0,-523.0,81.0,65.0
optimized_004,631006,15.509803921568627,0.19138640212920396,-27.0,-647.0,85.0,58.0
optimized_004,631007,15.215686274509803,0.19179436480474543,-17.0,-609.0,84.0,67.0
optimized_004,631008,14.098039215686274,0.18129097327281896,-20.0,-570.0,83.0,63.0
optimized_004,631009,14.686274509803921,0.18800200803212852,-26.0,-596.0,89.0,63.0
optimized_004,631010,13.764705882352942,0.19322873658133774,-12.0,-568.0,81.0,69.0
optimized_004,631011,13.843137254901961,0.17227916056612982,-22.0,-556.0,86.0,64.0
optimized_004,631012,14.372549019607844,0.18698979591836734,-25.0,-589.0,85.0,60.0
optimized_004,631013,13.72549019607843,0.1715686274509804,-21.0,-592.0,83.0,62.0
optimized_004,631014,15.137254901960784,0.18328584995251662,-24.0,-618.0,88.0,64.0
optimized_004,631015,14.411764705882353,0.18247269116186693,-27.0,-603.0,92.0,65.0
optimized_004,631016,14.07843137254902,0.18335035750766088,-17.0,-565.0,84.0,67.0
optimized_004,631017,13.882352941176471,0.1811668372569089,-17.0,-546.0,80.0,63.0
optimized_004,631018,12.96078431372549,0.18603996622572475,-10.0,-478.0,80.0,70.0
optimized_004,631019,13.862745098039216,0.18478829064296917,-20.0,-585.0,80.0,60.0
optimized_004,631020,14.666666666666666,0.18869828456104945,-21.0,-607.0,89.0,68.0
optimized_004,631021,14.647058823529411,0.18013021461297324,-21.0,-587.0,84.0,63.0
optimized_004,631022,13.607843137254902,0.18600911283838112,-25.0,-500.0,91.0,66.0
optimized_004,631023,13.843137254901961,0.1795067378591406,-18.0,-566.0,88.0,70.0
optimized_004,631024,15.470588235294118,0.1888915489585827,-21.0,-639.0,83.0,62.0
optimized_004,631025,14.529411764705882,0.18797564687975646,-7.0,-587.0,78.0,71.0
optimized_004,631026,12.254901960784315,0.18179173938336243,-18.0,-472.0,84.0,66.0
optimized_004,631027,13.901960784313726,0.18198151950718686,-25.0,-609.0,84.0,59.0
optimized_004,631028,15.254901960784315,0.18067812354853693,-17.0,-637.0,80.0,63.0
optimized_004,631029,13.196078431372548,0.18443409153192655,-14.0,-509.0,77.0,63.0
optimized_004,631030,14.450980392156863,0.18611111111111112,-23.0,-600.0,83.0,60.0
