source_id,intermediate_id,motor_id,source_to_intermediate_weight,intermediate_to_motor_weight,intermediate_activity,delta_hz,motif_type,intermediate_nt
720575940630233916,720575940619973712,720575940610679876,4.0,-2.0,54.0,108.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940630797113,720575940619973712,720575940610679876,1.0,-2.0,54.0,108.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940632889389,720575940619973712,720575940610679876,5.0,-2.0,54.0,108.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940637568838,720575940619973712,720575940610679876,5.0,-2.0,54.0,108.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940638202345,720575940619973712,720575940610679876,2.0,-2.0,54.0,108.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940640649691,720575940619973712,720575940610679876,6.0,-2.0,54.0,108.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940621502051,720575940644666148,720575940630868793,1.0,-108.0,1.0,108.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940617000768,720575940632648612,720575940613935535,5.0,-1.0,96.0,96.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940621502051,720575940632648612,720575940613935535,6.0,-1.0,96.0,96.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940621754367,720575940632648612,720575940613935535,8.0,-1.0,96.0,96.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940624963786,720575940632648612,720575940613935535,14.0,-1.0,96.0,96.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940630233916,720575940632648612,720575940613935535,20.0,-1.0,96.0,96.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940630797113,720575940632648612,720575940613935535,9.0,-1.0,96.0,96.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940632889389,720575940632648612,720575940613935535,9.0,-1.0,96.0,96.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940637568838,720575940632648612,720575940613935535,6.0,-1.0,96.0,96.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940638202345,720575940632648612,720575940613935535,17.0,-1.0,96.0,96.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940640649691,720575940632648612,720575940613935535,2.0,-1.0,96.0,96.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940617000768,720575940641366517,720575940613935535,2.0,-2.0,46.0,92.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940621502051,720575940641366517,720575940613935535,1.0,-2.0,46.0,92.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940621754367,720575940641366517,720575940613935535,5.0,-2.0,46.0,92.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940624963786,720575940641366517,720575940613935535,15.0,-2.0,46.0,92.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940630233916,720575940641366517,720575940613935535,7.0,-2.0,46.0,92.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940630797113,720575940641366517,720575940613935535,2.0,-2.0,46.0,92.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940632889389,720575940641366517,720575940613935535,2.0,-2.0,46.0,92.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940637568838,720575940641366517,720575940613935535,3.0,-2.0,46.0,92.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940638202345,720575940641366517,720575940613935535,6.0,-2.0,46.0,92.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940640649691,720575940641366517,720575940613935535,3.0,-2.0,46.0,92.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940632889389,720575940633065901,720575940636165624,2.0,-37.0,2.0,74.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940617000768,720575940616864217,720575940628997123,1.0,-16.0,4.0,64.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940640649691,720575940616864217,720575940628997123,3.0,-16.0,4.0,64.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940617000768,720575940633277209,720575940610679876,5.0,-2.0,32.0,64.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940621502051,720575940633277209,720575940610679876,2.0,-2.0,32.0,64.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940621754367,720575940633277209,720575940610679876,2.0,-2.0,32.0,64.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940624963786,720575940633277209,720575940610679876,6.0,-2.0,32.0,64.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940630233916,720575940633277209,720575940610679876,6.0,-2.0,32.0,64.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940632889389,720575940633277209,720575940610679876,2.0,-2.0,32.0,64.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940637568838,720575940633277209,720575940610679876,2.0,-2.0,32.0,64.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940638202345,720575940633277209,720575940610679876,6.0,-2.0,32.0,64.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940640649691,720575940633277209,720575940610679876,1.0,-2.0,32.0,64.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940630233916,720575940631092943,720575940633185567,1.0,-30.0,2.0,60.0,sensory_excites_inhibitor_inhibits_motor,glutamate
720575940638202345,720575940631092943,720575940633185567,1.0,-30.0,2.0,60.0,sensory_excites_inhibitor_inhibits_motor,glutamate
720575940617000768,720575940619973712,720575940612888178,15.0,-1.0,54.0,54.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940621502051,720575940619973712,720575940612888178,6.0,-1.0,54.0,54.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940621754367,720575940619973712,720575940612888178,1.0,-1.0,54.0,54.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940624963786,720575940619973712,720575940612888178,9.0,-1.0,54.0,54.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940630233916,720575940619973712,720575940612888178,4.0,-1.0,54.0,54.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940630797113,720575940619973712,720575940612888178,1.0,-1.0,54.0,54.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940632889389,720575940619973712,720575940612888178,5.0,-1.0,54.0,54.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940637568838,720575940619973712,720575940612888178,5.0,-1.0,54.0,54.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940638202345,720575940619973712,720575940612888178,2.0,-1.0,54.0,54.0,sensory_excites_inhibitor_inhibits_motor,gaba
720575940640649691,720575940619973712,720575940612888178,6.0,-1.0,54.0,54.0,sensory_excites_inhibitor_inhibits_motor,gaba
