group,condition,seed,root_id,rate_hz,spike_count
motor_004,motor_010,631201,720575940625585596,0.0,0
motor_004,motor_010,631201,720575940627712019,0.0,0
motor_004,motor_010,631201,720575940631759663,0.0,0
motor_004,motor_010,631201,720575940633753569,0.0,0
motor_004,baseline,631202,720575940625585596,0.0,0
motor_004,baseline,631202,720575940627712019,0.0,0
motor_004,baseline,631202,720575940631759663,0.0,0
motor_004,baseline,631202,720575940633753569,0.0,0
motor_004,motor_004,631202,720575940625585596,0.0,0
motor_004,motor_004,631202,720575940627712019,0.0,0
motor_004,motor_004,631202,720575940631759663,0.0,0
motor_004,motor_004,631202,720575940633753569,0.0,0
motor_004,motor_007,631202,720575940625585596,0.0,0
motor_004,motor_007,631202,720575940627712019,0.0,0
motor_004,motor_007,631202,720575940631759663,0.0,0
motor_004,motor_007,631202,720575940633753569,0.0,0
motor_004,motor_010,631202,720575940625585596,0.0,0
motor_004,motor_010,631202,720575940627712019,0.0,0
motor_004,motor_010,631202,720575940631759663,0.0,0
motor_004,motor_010,631202,720575940633753569,0.0,0
motor_004,baseline,631203,720575940625585596,0.0,0
motor_004,baseline,631203,720575940627712019,0.0,0
motor_004,baseline,631203,720575940631759663,0.0,0
motor_004,baseline,631203,720575940633753569,0.0,0
motor_004,motor_004,631203,720575940625585596,0.0,0
motor_004,motor_004,631203,720575940627712019,0.0,0
motor_004,motor_004,631203,720575940631759663,0.0,0
motor_004,motor_004,631203,720575940633753569,0.0,0
motor_004,motor_007,631203,720575940625585596,0.0,0
motor_004,motor_007,631203,720575940627712019,0.0,0
motor_004,motor_007,631203,720575940631759663,0.0,0
motor_004,motor_007,631203,720575940633753569,0.0,0
motor_004,motor_010,631203,720575940625585596,0.0,0
motor_004,motor_010,631203,720575940627712019,0.0,0
motor_004,motor_010,631203,720575940631759663,0.0,0
motor_004,motor_010,631203,720575940633753569,0.0,0
motor_004,baseline,631204,720575940625585596,0.0,0
motor_004,baseline,631204,720575940627712019,0.0,0
motor_004,baseline,631204,720575940631759663,0.0,0
motor_004,baseline,631204,720575940633753569,0.0,0
motor_004,motor_004,631204,720575940625585596,0.0,0
motor_004,motor_004,631204,720575940627712019,0.0,0
motor_004,motor_004,631204,720575940631759663,0.0,0
motor_004,motor_004,631204,720575940633753569,0.0,0
motor_004,motor_007,631204,720575940625585596,0.0,0
motor_004,motor_007,631204,720575940627712019,0.0,0
motor_004,motor_007,631204,720575940631759663,0.0,0
motor_004,motor_007,631204,720575940633753569,0.0,0
motor_004,motor_010,631204,720575940625585596,0.0,0
motor_004,motor_010,631204,720575940627712019,0.0,0
motor_004,motor_010,631204,720575940631759663,0.0,0
motor_004,motor_010,631204,720575940633753569,0.0,0
motor_004,baseline,631205,720575940625585596,0.0,0
motor_004,baseline,631205,720575940627712019,0.0,0
motor_004,baseline,631205,720575940631759663,0.0,0
motor_004,baseline,631205,720575940633753569,0.0,0
motor_004,motor_004,631205,720575940625585596,0.0,0
motor_004,motor_004,631205,720575940627712019,0.0,0
motor_004,motor_004,631205,720575940631759663,0.0,0
motor_004,motor_004,631205,720575940633753569,0.0,0
motor_004,motor_007,631205,720575940625585596,0.0,0
motor_004,motor_007,631205,720575940627712019,0.0,0
motor_004,motor_007,631205,720575940631759663,0.0,0
motor_004,motor_007,631205,720575940633753569,0.0,0
motor_004,motor_010,631205,720575940625585596,0.0,0
motor_004,motor_010,631205,720575940627712019,0.0,0
motor_004,motor_010,631205,720575940631759663,0.0,0
motor_004,motor_010,631205,720575940633753569,0.0,0
motor_005,baseline,631201,720575940625585596,0.0,0
motor_005,baseline,631201,720575940627712019,0.0,0
motor_005,baseline,631201,720575940631759663,0.0,0
motor_005,baseline,631201,720575940633753569,0.0,0
motor_005,motor_005,631201,720575940625585596,0.0,0
motor_005,motor_005,631201,720575940627712019,0.0,0
motor_005,motor_005,631201,720575940631759663,0.0,0
motor_005,motor_005,631201,720575940633753569,0.0,0
motor_005,motor_008,631201,720575940625585596,0.0,0
motor_005,motor_008,631201,720575940627712019,0.0,0
motor_005,motor_008,631201,720575940631759663,0.0,0
motor_005,motor_008,631201,720575940633753569,0.0,0
motor_005,motor_011,631201,720575940625585596,0.0,0
motor_005,motor_011,631201,720575940627712019,0.0,0
motor_005,motor_011,631201,720575940631759663,0.0,0
motor_005,motor_011,631201,720575940633753569,0.0,0
motor_005,baseline,631202,720575940625585596,0.0,0
motor_005,baseline,631202,720575940627712019,0.0,0
